year,state_abb,local police department,sheriffs office,other
1962,SC,21355.0,7959.0,0.0
1962,SD,5175.0,2021.0,0.0
1962,TN,35753.0,6619.0,0.0
1962,TX,163929.0,17847.0,0.0
1963,AK,3133.0,0.0,0.0
1963,AL,30710.0,3755.0,0.0
1963,AR,13447.0,2887.0,0.0
1963,AZ,45225.0,6663.0,0.0
1963,CA,512028.0,145273.0,0.0
1963,CO,41763.0,9594.0,0.0
1963,CT,37879.0,0.0,0.0
1963,DC,25613.0,0.0,0.0
1963,DE,9583.0,1021.0,0.0
1963,FL,119108.0,31418.0,0.0
1963,GA,48856.0,6743.0,0.0
1963,HI,17579.0,0.0,0.0
1963,IA,25901.0,6212.0,0.0
1963,ID,10326.0,2902.0,0.0
1963,IL,241064.0,15833.0,0.0
1963,IN,74447.0,15825.0,0.0
1963,KS,28647.0,7538.0,0.0
1963,KY,34597.0,5563.0,0.0
1963,LA,39699.0,7382.0,0.0
1963,MA,85926.0,1011.0,0.0
1963,MD,66425.0,2365.0,0.0
1963,ME,7591.0,2602.0,0.0
1963,MI,175521.0,23539.0,0.0
1963,MN,52187.0,5558.0,0.0
1963,MO,95742.0,12413.0,0.0
1963,MS,10014.0,845.0,0.0
1963,MT,9734.0,5169.0,0.0
1963,NC,43389.0,8008.0,0.0
1963,ND,4538.0,1692.0,0.0
1963,NE,16174.0,4063.0,0.0
1963,NH,4446.0,1259.0,0.0
1963,NJ,116757.0,0.0,0.0
1963,NM,20649.0,2270.0,0.0
1963,NV,14414.0,673.0,0.0
1963,NY,304585.0,9307.0,0.0
1963,OH,144548.0,24409.0,0.0
1963,OK,38839.0,6938.0,0.0
1963,OR,30044.0,9960.0,0.0
1963,PA,118508.0,14179.0,0.0
1963,RI,17411.0,151.0,0.0
1963,SC,22618.0,9512.0,0.0
1963,SD,5371.0,2266.0,0.0
1963,TN,40565.0,6945.0,0.0
1963,TX,191120.0,21209.0,0.0
1963,UT,21075.0,2172.0,0.0
1963,VA,63452.0,6884.0,0.0
1963,VT,1715.0,109.0,0.0
1963,WA,52975.0,20719.0,0.0
1963,WI,44562.0,9098.0,0.0
1963,WV,8892.0,0.0,0.0
1963,WY,4907.0,1153.0,0.0
1964,AK,3546.0,0.0,0.0
1964,AL,36956.0,3646.0,0.0
1964,AR,16170.0,3209.0,0.0
1964,AZ,49788.0,7271.0,0.0
1964,CA,578364.0,162343.0,0.0
1964,CO,42283.0,10322.0,0.0
1964,CT,45143.0,0.0,0.0
1964,DC,30357.0,0.0,0.0
1964,DE,5775.0,0.0,0.0
1964,FL,140297.0,32793.0,0.0
1964,GA,57867.0,5639.0,0.0
