year,state_abb,local police department,sheriffs office,total_population,other_pop,percent_sheriff_pop,percent_police_pop
1996,SC,1448746.0,2280872.0,3755337.0,25719.0,60.7,38.6
1967,WV,706631.0,1090825.0,1797456.0,0.0,60.7,39.3
2016,SC,1958589.0,3026219.0,4984808.0,0.0,60.7,39.3
1970,MS,873984.0,1345907.0,2219891.0,0.0,60.6,39.4
1964,MS,915445.0,1402891.0,2318336.0,0.0,60.5,39.5
1966,ND,256555.0,393176.0,649731.0,0.0,60.5,39.5
2018,SC,2024629.0,3082549.0,5107178.0,0.0,60.4,39.6
2017,SC,2001202.0,3046040.0,5047242.0,0.0,60.4,39.6
1967,MS,931775.0,1420469.0,2352244.0,0.0,60.4,39.6
1964,SC,1019830.0,1572143.0,2608215.0,16242.0,60.3,39.1
1970,SC,1033664.0,1592982.0,2643750.0,17104.0,60.3,39.1
1961,SD,270149.0,410365.0,680514.0,0.0,60.3,39.7
2019,SC,2059069.0,3112840.0,5171909.0,0.0,60.2,39.8
1963,SC,992270.0,1526475.0,2535272.0,16527.0,60.2,39.1
1962,SC,967681.0,1489038.0,2471914.0,15195.0,60.2,39.1
2022,SC,2077954.0,3149113.0,5227067.0,0.0,60.2,39.8
1961,NC,1805574.0,2736207.0,4541781.0,0.0,60.2,39.8
2020,SC,2097092.0,3147895.0,5244987.0,0.0,60.0,40.0
2021,SC,2072205.0,3084962.0,5157167.0,0.0,59.8,40.2
1970,ND,248282.0,369479.0,617761.0,0.0,59.8,40.2
1962,NC,1900518.0,2815197.0,4715715.0,0.0,59.7,40.3
1967,ND,258040.0,380960.0,639000.0,0.0,59.6,40.4
1971,ND,252237.0,372763.0,625000.0,0.0,59.6,40.4
1962,SD,293098.0,427912.0,721010.0,0.0,59.3,40.7
1965,SC,1042179.0,1538809.0,2597268.0,16280.0,59.2,40.1
1967,SC,1067200.0,1564681.0,2648599.0,16718.0,59.1,40.3
1963,NC,1942486.0,2806107.0,4748593.0,0.0,59.1,40.9
1985,MT,376618.0,540334.0,916952.0,0.0,58.9,41.1
1961,AR,752037.0,1072221.0,1824258.0,0.0,58.8,41.2
1972,ND,260140.0,371860.0,632000.0,0.0,58.8,41.2
1982,MT,359138.0,511666.0,870804.0,0.0,58.8,41.2
1970,NC,2096498.0,2996407.0,5092905.0,0.0,58.8,41.2
1978,WV,769084.0,1090916.0,1860000.0,0.0,58.7,41.3
1990,SC,1444878.0,2085973.0,3555097.0,24246.0,58.7,40.6
1966,NC,2031193.0,2871563.0,4902756.0,0.0,58.6,41.4
1984,MT,367893.0,521139.0,889032.0,0.0,58.6,41.4
1983,MT,368985.0,520243.0,889228.0,0.0,58.5,41.5
1975,ND,264457.0,373503.0,637960.0,0.0,58.5,41.5
1979,WV,778962.0,1099465.0,1878427.0,0.0,58.5,41.5
1973,ND,265713.0,374287.0,640000.0,0.0,58.5,41.5
1986,MT,371885.0,523516.0,895401.0,0.0,58.5,41.5
1964,NC,2009582.0,2830601.0,4840183.0,0.0,58.5,41.5
1966,SC,1065868.0,1510548.0,2593070.0,16654.0,58.3,41.1
1972,NC,2193309.0,3061662.0,5254971.0,0.0,58.3,41.7
1971,NC,2152682.0,3004296.0,5156978.0,0.0,58.3,41.7
1981,SC,1327761.0,1875936.0,3225026.0,21329.0,58.2,41.2
1971,MS,931499.0,1297497.0,2228996.0,0.0,58.2,41.8
1985,SC,1404638.0,1983936.0,3411276.0,22702.0,58.2,41.2
1982,SC,1345185.0,1894373.0,3260946.0,21388.0,58.1,41.3
1964,SD,299813.0,415195.0,715008.0,0.0,58.1,41.9
1980,SC,1286790.0,1815533.0,3122787.0,20464.0,58.1,41.2
1984,SC,1390461.0,1948582.0,3361430.0,22387.0,58.0,41.4
1986,SC,1424175.0,1997006.0,3444418.0,23237.0,58.0,41.3
1965,SD,298741.0,412194.0,710935.0,0.0,58.0,42.0
1969,SC,1138794.0,1595860.0,2751758.0,17104.0,58.0,41.4
1965,NC,2010333.0,2781015.0,4791348.0,0.0,58.0,42.0
1983,SC,1373256.0,1923427.0,3318478.0,21795.0,58.0,41.4
1988,MT,374437.0,515469.0,889906.0,0.0,57.9,42.1
1987,SC,1450449.0,2019287.0,3493298.0,23562.0,57.8,41.5
1961,ID,277749.0,381056.0,658805.0,0.0,57.8,42.2
1963,SD,311211.0,425822.0,737033.0,0.0,57.8,42.2
1972,WV,748986.0,1027037.0,1776023.0,0.0,57.8,42.2
1988,SC,1484275.0,2054183.0,3562408.0,23950.0,57.7,41.7
1972,MS,958839.0,1307231.0,2266070.0,0.0,57.7,42.3
1975,WV,762174.0,1040826.0,1803000.0,0.0,57.7,42.3
1973,WV,756926.0,1032088.0,1789014.0,0.0,57.7,42.3
1967,NC,2127718.0,2905961.0,5033679.0,0.0,57.7,42.3
1974,WV,760698.0,1030302.0,1791000.0,0.0,57.5,42.5
1990,MT,370879.0,501890.0,872769.0,0.0,57.5,42.5
1969,MS,1005833.0,1359278.0,2365111.0,0.0,57.5,42.5
1961,MT,289108.0,390293.0,679401.0,0.0,57.4,42.6
1989,MT,375031.0,505622.0,880653.0,0.0,57.4,42.6
1974,ND,271394.0,365606.0,637000.0,0.0,57.4,42.6
1987,MT,376759.0,506008.0,882767.0,0.0,57.3,42.7
1966,SD,306591.0,410010.0,716601.0,0.0,57.2,42.8
1969,NC,2233484.0,2983579.0,5217063.0,0.0,57.2,42.8
1989,SC,1512398.0,2043606.0,3580250.0,24246.0,57.1,42.2
1963,ID,307968.0,409220.0,717188.0,0.0,57.1,42.9
1962,MT,306796.0,407191.0,713987.0,0.0,57.0,43.0
2007,LA,1891335.0,2492770.0,4384105.0,0.0,56.9,43.1
1991,MT,380571.0,501945.0,882516.0,0.0,56.9,43.1
1973,MS,988489.0,1297036.0,2285525.0,0.0,56.8,43.2
1970,SD,291499.0,383147.0,674646.0,0.0,56.8,43.2
1992,MT,389130.0,510849.0,899979.0,0.0,56.8,43.2
2000,MT,421887.0,552042.0,973929.0,0.0,56.7,43.3
1993,MT,395723.0,517721.0,913444.0,0.0,56.7,43.3
1994,MT,403759.0,528182.0,931941.0,0.0,56.7,43.3
2002,MT,425800.0,555332.0,981132.0,0.0,56.6,43.4
1975,MS,1019001.0,1330271.0,2349272.0,0.0,56.6,43.4
1969,ND,267145.0,347855.0,615000.0,0.0,56.6,43.4
1979,MS,1046700.0,1364375.0,2411075.0,0.0,56.6,43.4
1974,MS,1010190.0,1318524.0,2328714.0,0.0,56.6,43.4
2001,MT,423487.0,553412.0,976899.0,0.0,56.6,43.4
1980,MT,344811.0,449953.0,794764.0,0.0,56.6,43.4
1971,SD,296185.0,384635.0,680820.0,0.0,56.5,43.5
1981,MT,350500.0,454848.0,805348.0,0.0,56.5,43.5
2008,LA,1954263.0,2538693.0,4492956.0,0.0,56.5,43.5
1980,MS,1095730.0,1415761.0,2511491.0,0.0,56.4,43.6
1972,SD,300695.0,388998.0,689693.0,0.0,56.4,43.6
1964,MT,311952.0,400366.0,712318.0,0.0,56.2,43.8
2022,LA,2029832.0,2608983.0,4638815.0,0.0,56.2,43.8
1973,SC,1187163.0,1548897.0,2754060.0,18000.0,56.2,43.1
1976,WV,797698.0,1023302.0,1821000.0,0.0,56.2,43.8
1962,ID,307417.0,392901.0,700318.0,0.0,56.1,43.9
1975,SC,1233249.0,1592849.0,2846250.0,20152.0,56.0,43.3
1978,MS,1060778.0,1346494.0,2407272.0,0.0,55.9,44.1
2003,MT,435146.0,552275.0,987421.0,0.0,55.9,44.1
1980,NC,2577169.0,3270923.0,5848092.0,0.0,55.9,44.1
1976,ND,284826.0,361024.0,645850.0,0.0,55.9,44.1
1979,SD,308673.0,388993.0,697666.0,0.0,55.8,44.2
1981,NC,2629672.0,3326450.0,5956122.0,0.0,55.8,44.2
1973,SD,307283.0,388465.0,695748.0,0.0,55.8,44.2
2009,LA,2023710.0,2550641.0,4574351.0,0.0,55.8,44.2
1974,SC,1221147.0,1565494.0,2805518.0,18877.0,55.8,43.5
1962,AR,823891.0,1040128.0,1864019.0,0.0,55.8,44.2
2010,LA,2037015.0,2570595.0,4607610.0,0.0,55.8,44.2
2015,LA,2129514.0,2676498.0,4806012.0,0.0,55.7,44.3
2011,LA,2058749.0,2589702.0,4648451.0,0.0,55.7,44.3
2017,LA,2138526.0,2681235.0,4819761.0,0.0,55.6,44.4
1963,MT,316327.0,395994.0,712321.0,0.0,55.6,44.4
1970,MT,310802.0,389244.0,700046.0,0.0,55.6,44.4
1983,NC,2704223.0,3383635.0,6087858.0,0.0,55.6,44.4
1982,SD,312053.0,391535.0,703588.0,0.0,55.6,44.4
1983,SD,316145.0,396603.0,712748.0,0.0,55.6,44.4
1982,NC,2676162.0,3348019.0,6024181.0,0.0,55.6,44.4
1966,AR,889490.0,1111708.0,2001198.0,0.0,55.6,44.4
2016,LA,2139543.0,2677502.0,4817045.0,0.0,55.6,44.4
1975,SD,308374.0,385163.0,693537.0,0.0,55.5,44.5
1981,MS,1124633.0,1405367.0,2530000.0,0.0,55.5,44.5
2020,LA,2095433.0,2609064.0,4704497.0,0.0,55.5,44.5
1976,MS,1049078.0,1308194.0,2357272.0,0.0,55.5,44.5
2021,LA,2080486.0,2598303.0,4678789.0,0.0,55.5,44.5
1977,WV,826981.0,1032469.0,1859450.0,0.0,55.5,44.5
1965,MT,330773.0,411095.0,741868.0,0.0,55.4,44.6
2012,LA,2082861.0,2591873.0,4674734.0,0.0,55.4,44.6
1984,SD,320396.0,397984.0,718380.0,0.0,55.4,44.6
1985,SD,321213.0,399200.0,720413.0,0.0,55.4,44.6
1980,SD,310797.0,386491.0,697288.0,0.0,55.4,44.6
1981,SD,309261.0,384767.0,694028.0,0.0,55.4,44.6
1967,SD,303155.0,377181.0,680336.0,0.0,55.4,44.6
2010,MT,471444.0,583826.0,1055270.0,0.0,55.3,44.7
2013,LA,2098101.0,2598998.0,4697099.0,0.0,55.3,44.7
2014,LA,2115629.0,2617677.0,4733306.0,0.0,55.3,44.7
2011,MT,475630.0,589009.0,1064639.0,0.0,55.3,44.7
1991,MS,1167171.0,1442909.0,2610080.0,0.0,55.3,44.7
2019,LA,2104395.0,2604043.0,4708438.0,0.0,55.3,44.7
1990,MS,1158669.0,1432496.0,2591165.0,0.0,55.3,44.7
1992,MS,1177111.0,1455122.0,2632233.0,0.0,55.3,44.7
1971,MT,319815.0,394238.0,714053.0,0.0,55.2,44.8
2004,MT,446034.0,550477.0,996511.0,0.0,55.2,44.8
2012,MT,479787.0,592001.0,1071788.0,0.0,55.2,44.8
1963,AR,854898.0,1047087.0,1901985.0,0.0,55.1,44.9
1986,SD,323231.0,397166.0,720397.0,0.0,55.1,44.9
1967,AR,898323.0,1102861.0,2001184.0,0.0,55.1,44.9
1979,SC,1320703.0,1641505.0,2981730.0,19522.0,55.1,44.3
1974,SD,311257.0,381455.0,692712.0,0.0,55.1,44.9
1979,ND,297779.0,364719.0,662498.0,0.0,55.1,44.9
1973,MT,327787.0,401242.0,729029.0,0.0,55.0,45.0
1985,NC,2825379.0,3446518.0,6271897.0,0.0,55.0,45.0
1964,AR,889412.0,1088983.0,1978395.0,0.0,55.0,45.0
2018,LA,2122407.0,2596933.0,4719340.0,0.0,55.0,45.0
1995,MT,426117.0,519956.0,946073.0,0.0,55.0,45.0
1978,SC,1317143.0,1631764.0,2969059.0,20152.0,55.0,44.4
1984,NC,2774593.0,3396378.0,6170971.0,0.0,55.0,45.0
2018,MT,506081.0,615756.0,1121837.0,0.0,54.9,45.1
2013,MT,486344.0,592233.0,1078577.0,0.0,54.9,45.1
1999,MT,433769.0,527548.0,961317.0,0.0,54.9,45.1
1964,ID,314109.0,382064.0,696173.0,0.0,54.9,45.1
1972,MT,328344.0,398826.0,727170.0,0.0,54.8,45.2
1989,MS,1193219.0,1446380.0,2639599.0,0.0,54.8,45.2
1996,MT,430545.0,521931.0,952476.0,0.0,54.8,45.2
1988,MS,1195885.0,1449252.0,2645137.0,0.0,54.8,45.2
1993,MS,1203197.0,1459146.0,2662343.0,0.0,54.8,45.2
1997,MT,430545.0,521931.0,952476.0,0.0,54.8,45.2
1977,MS,1084773.0,1307499.0,2392272.0,0.0,54.7,45.3
2016,MT,498944.0,602983.0,1101927.0,0.0,54.7,45.3
1974,MT,339040.0,408957.0,747997.0,0.0,54.7,45.3
1987,MS,1196530.0,1446119.0,2642649.0,0.0,54.7,45.3
1975,MT,344683.0,416622.0,761305.0,0.0,54.7,45.3
1962,VT,173364.0,208845.0,382209.0,0.0,54.6,45.4
2019,MT,511816.0,616542.0,1128358.0,0.0,54.6,45.4
2017,MT,503222.0,605441.0,1108663.0,0.0,54.6,45.4
1986,NC,2882169.0,3465742.0,6347911.0,0.0,54.6,45.4
1984,MS,1189215.0,1425492.0,2614707.0,0.0,54.5,45.5
2007,MS,1327325.0,1592637.0,2919962.0,0.0,54.5,45.5
2015,MT,500298.0,599419.0,1099717.0,0.0,54.5,45.5
2014,MT,494852.0,592670.0,1087522.0,0.0,54.5,45.5
1982,MS,1159486.0,1391514.0,2551000.0,0.0,54.5,45.5
1965,AR,883262.0,1057358.0,1940620.0,0.0,54.5,45.5
1986,MS,1200765.0,1440878.0,2641643.0,0.0,54.5,45.5
2008,MS,1338936.0,1600881.0,2939817.0,0.0,54.5,45.5
1985,MS,1198315.0,1431489.0,2629804.0,0.0,54.4,45.6
1966,MT,333588.0,397996.0,731584.0,0.0,54.4,45.6
1983,MS,1179322.0,1407678.0,2587000.0,0.0,54.4,45.6
1977,ND,299327.0,356801.0,656128.0,0.0,54.4,45.6
2004,MS,1324556.0,1579620.0,2904176.0,0.0,54.4,45.6
2005,MT,458819.0,546520.0,1005339.0,0.0,54.4,45.6
2005,MS,1336427.0,1585859.0,2922286.0,0.0,54.3,45.7
2006,LA,1999265.0,2372688.0,4371953.0,0.0,54.3,45.7
2003,MS,1316435.0,1564846.0,2881281.0,0.0,54.3,45.7
1998,MS,1261008.0,1491098.0,2752106.0,0.0,54.2,45.8
2006,MS,1333953.0,1577803.0,2911756.0,0.0,54.2,45.8
1961,KY,1392786.0,1645370.0,3038156.0,0.0,54.2,45.8
1970,AR,900022.0,1060110.0,1960132.0,0.0,54.1,45.9
1978,ND,300445.0,354683.0,655128.0,0.0,54.1,45.9
2006,MT,465155.0,548908.0,1014063.0,0.0,54.1,45.9
1999,MS,1272118.0,1496989.0,2769107.0,0.0,54.1,45.9
2005,LA,2122993.0,2490040.0,4613033.0,0.0,54.0,46.0
2000,MS,1309678.0,1535087.0,2844765.0,0.0,54.0,46.0
2001,MS,1315835.0,1542301.0,2858136.0,0.0,54.0,46.0
2002,MS,1322059.0,1549723.0,2871782.0,0.0,54.0,46.0
2007,MT,473651.0,555548.0,1029199.0,0.0,54.0,46.0
1987,SD,333969.0,390019.0,723988.0,0.0,53.9,46.1
1973,NC,2432486.0,2840514.0,5273000.0,0.0,53.9,46.1
1994,MS,1238294.0,1450239.0,2688533.0,0.0,53.9,46.1
1970,VT,201913.0,235518.0,437431.0,0.0,53.8,46.2
1986,WV,727936.0,1033236.0,1920946.0,159774.0,53.8,37.9
2021,MT,522800.0,607623.0,1130423.0,0.0,53.8,46.2
2009,MS,1370373.0,1582848.0,2953221.0,0.0,53.6,46.4
1989,SD,338771.0,390859.0,729630.0,0.0,53.6,46.4
2010,MS,1376471.0,1592212.0,2968683.0,0.0,53.6,46.4
1987,NC,2985191.0,3452884.0,6438075.0,0.0,53.6,46.4
1969,AR,943300.0,1090349.0,2033649.0,0.0,53.6,46.4
1988,NC,3048722.0,3502691.0,6551413.0,0.0,53.5,46.5
1988,SD,339192.0,390819.0,730011.0,0.0,53.5,46.5
1966,VT,184219.0,212257.0,396476.0,0.0,53.5,46.5
1965,VT,181473.0,207781.0,389254.0,0.0,53.4,46.6
1969,SD,311665.0,357525.0,669190.0,0.0,53.4,46.6
1998,MT,444183.0,508213.0,952396.0,0.0,53.4,46.6
1974,NC,2498036.0,2864964.0,5363000.0,0.0,53.4,46.6
2022,MT,532605.0,608576.0,1141181.0,0.0,53.3,46.7
2004,LA,2129301.0,2432035.0,4561336.0,0.0,53.3,46.7
2020,MT,516505.0,589129.0,1105634.0,0.0,53.3,46.7
1979,MT,372945.0,425236.0,798181.0,0.0,53.3,46.7
1977,MT,363145.0,415204.0,778349.0,0.0,53.3,46.7
2011,MS,1393201.0,1586702.0,2979903.0,0.0,53.2,46.8
1964,VT,187616.0,213223.0,400839.0,0.0,53.2,46.8
1990,NC,3112995.0,3543491.0,6656486.0,0.0,53.2,46.8
1991,NC,3166932.0,3594102.0,6761034.0,0.0,53.2,46.8
1976,SC,1324916.0,1528803.0,2873871.0,20152.0,53.2,46.1
1963,VT,178741.0,203362.0,382103.0,0.0,53.2,46.8
2008,MT,482739.0,548344.0,1031083.0,0.0,53.2,46.8
1977,SC,1351675.0,1558515.0,2930342.0,20152.0,53.2,46.1
1997,MS,1280746.0,1450359.0,2731105.0,0.0,53.1,46.9
1996,MS,1273664.0,1442441.0,2716105.0,0.0,53.1,46.9
1992,NC,3218176.0,3649221.0,6867397.0,0.0,53.1,46.9
1976,SD,325623.0,368049.0,693672.0,0.0,53.1,46.9
1995,MS,1264705.0,1432400.0,2697105.0,0.0,53.1,46.9
2003,LA,2130906.0,2411175.0,4542081.0,0.0,53.1,46.9
1962,KY,1446761.0,1635374.0,3082135.0,0.0,53.1,46.9
2018,MS,1403691.0,1584119.0,2987810.0,0.0,53.0,47.0
2012,MS,1402906.0,1583390.0,2986296.0,0.0,53.0,47.0
1989,NC,3102454.0,3500657.0,6603111.0,0.0,53.0,47.0
1961,TN,1624910.0,1832375.0,3457285.0,0.0,53.0,47.0
2019,MS,1403402.0,1574092.0,2977494.0,0.0,52.9,47.1
2022,MS,1379528.0,1547553.0,2927081.0,0.0,52.9,47.1
2013,MS,1409845.0,1582708.0,2992553.0,0.0,52.9,47.1
1980,VT,236809.0,266481.0,503290.0,0.0,52.9,47.1
1999,LA,2081968.0,2340230.0,4422198.0,0.0,52.9,47.1
1969,VT,203302.0,227370.0,430672.0,0.0,52.8,47.2
2014,MS,1414274.0,1581130.0,2995404.0,0.0,52.8,47.2
2020,MS,1400282.0,1564399.0,2964681.0,0.0,52.8,47.2
1979,NC,2647038.0,2963116.0,5610154.0,0.0,52.8,47.2
2015,MS,1414852.0,1578800.0,2993652.0,0.0,52.7,47.3
2016,MS,1415698.0,1574348.0,2990046.0,0.0,52.7,47.3
2009,MT,490903.0,547937.0,1038840.0,0.0,52.7,47.3
1993,LA,2044731.0,2274721.0,4319452.0,0.0,52.7,47.3
1993,NC,3297668.0,3671813.0,6969481.0,0.0,52.7,47.3
1994,NC,3360478.0,3735203.0,7095681.0,0.0,52.6,47.4
2000,LA,2145614.0,2376277.0,4521891.0,0.0,52.6,47.4
1976,MT,362725.0,401892.0,764617.0,0.0,52.6,47.4
2001,LA,2144465.0,2374390.0,4518855.0,0.0,52.5,47.5
1989,WA,2265046.0,2503582.0,4768628.0,0.0,52.5,47.5
1998,LA,2085231.0,2300128.0,4385359.0,0.0,52.5,47.5
1981,ND,315148.0,347792.0,662940.0,0.0,52.5,47.5
2017,MS,1417584.0,1567818.0,2985402.0,0.0,52.5,47.5
1965,ID,330525.0,365648.0,696173.0,0.0,52.5,47.5
1980,ND,312484.0,344851.0,657335.0,0.0,52.5,47.5
2021,MS,1395255.0,1543360.0,2938615.0,0.0,52.5,47.5
2002,LA,2149398.0,2379721.0,4529119.0,0.0,52.5,47.5
1978,MT,380508.0,418683.0,799191.0,0.0,52.4,47.6
1962,OR,887981.0,972223.0,1860204.0,0.0,52.3,47.7
1971,AR,942665.0,1036343.0,1982508.0,3500.0,52.3,47.5
1975,NC,2598490.0,2852510.0,5451000.0,0.0,52.3,47.7
1963,KY,1478326.0,1616557.0,3094883.0,0.0,52.2,47.8
