year,state_abb,agency_type,agencies,officers,total_staff
1960,WY,local police department,20,209.0,265.0
1960,WY,sheriffs office,23,3.0,4.0
1961,AK,local police department,6,120.0,154.0
1961,AK,state law enforcement agency,1,84.0,115.0
1961,AL,local police department,106,1673.0,1883.0
1961,AL,sheriffs office,67,202.0,240.0
1961,AR,local police department,66,502.0,546.0
1961,AR,sheriffs office,75,44.0,57.0
1961,AZ,local police department,30,519.0,602.0
1961,AZ,sheriffs office,14,315.0,327.0
1961,CA,local police department,355,16311.0,19408.0
1961,CA,sheriffs office,58,5761.0,7257.0
1961,CA,special jurisdiction,3,60.0,62.0
1961,CO,local police department,47,1366.0,1571.0
1961,CO,sheriffs office,63,228.0,246.0
1961,CT,local police department,92,3334.0,3528.0
1961,CT,state law enforcement agency,1,462.0,670.0
1961,DC,local police department,1,2809.0,3010.0
1961,DE,local police department,11,255.0,281.0
1961,DE,sheriffs office,2,0.0,0.0
1961,DE,state law enforcement agency,1,174.0,219.0
1961,FL,local police department,146,4377.0,5373.0
1961,FL,sheriffs office,66,407.0,566.0
1961,GA,constable/marshal,3,45.0,46.0
1961,GA,local police department,121,2083.0,2272.0
1961,GA,sheriffs office,159,73.0,75.0
1961,HI,local police department,13,613.0,721.0
1961,HI,special jurisdiction,1,0.0,0.0
1961,IA,local police department,104,1243.0,1408.0
1961,IA,sheriffs office,99,148.0,176.0
1961,ID,local police department,32,376.0,419.0
1961,ID,sheriffs office,44,144.0,158.0
1961,IL,local police department,324,3930.0,4343.0
1961,IL,sheriffs office,102,385.0,413.0
1961,IN,local police department,134,3602.0,3909.0
1961,IN,sheriffs office,92,314.0,358.0
1961,IN,state law enforcement agency,1,0.0,0.0
1961,KS,local police department,93,1274.0,1509.0
1961,KS,sheriffs office,104,315.0,352.0
1961,KY,local police department,87,1274.0,1421.0
1961,KY,sheriffs office,120,13.0,16.0
1961,LA,local police department,87,2013.0,2217.0
1961,LA,sheriffs office,64,270.0,285.0
1961,LA,state law enforcement agency,1,0.0,0.0
1961,MA,local police department,201,8641.0,9157.0
1961,MA,sheriffs office,14,0.0,0.0
1961,MA,state law enforcement agency,1,0.0,0.0
1961,MD,local police department,43,3504.0,3848.0
1961,MD,sheriffs office,23,18.0,18.0
1961,MD,special jurisdiction,1,16.0,30.0
1961,ME,local police department,54,516.0,560.0
1961,ME,sheriffs office,16,38.0,72.0
1961,ME,state law enforcement agency,1,240.0,288.0
1961,MI,local police department,188,4217.0,4676.0
1961,MI,sheriffs office,83,866.0,942.0
1961,MI,special jurisdiction,1,24.0,27.0
1961,MI,state law enforcement agency,1,1112.0,1405.0
1961,MN,local police department,128,2162.0,2335.0
1961,MN,sheriffs office,87,206.0,222.0
1961,MO,local police department,146,3968.0,4872.0
1961,MO,sheriffs office,114,199.0,202.0
1961,MS,local police department,63,709.0,809.0
1961,MS,sheriffs office,82,23.0,37.0
1961,MT,local police department,28,303.0,342.0
1961,MT,sheriffs office,57,167.0,175.0
1961,NC,local police department,108,2462.0,2682.0
1961,NC,sheriffs office,100,187.0,190.0
1961,ND,local police department,15,264.0,289.0
1961,ND,sheriffs office,53,70.0,72.0
1961,NE,local police department,44,849.0,979.0
1961,NE,sheriffs office,93,76.0,85.0
1961,NH,local police department,24,356.0,368.0
1961,NH,sheriffs office,10,0.0,0.0
1961,NH,state law enforcement agency,1,0.0,0.0
1961,NJ,local police department,295,9223.0,9910.0
1961,NJ,sheriffs office,21,0.0,0.0
